Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score
19,Female,High School,Nigeria,5.8,Instagram,1,5.4,5,4,8
21,Male,Undergraduate,Kenya,3.7,Facebook,0,6.6,7,2,5
20,Female,Undergraduate,Ghana,4.6,Snapchat,1,5.7,6,3,7
18,Male,High School,Argentina,5.5,Tiktok,1,5.3,5,4,8
23,Female,Graduate,Chile,2.7,Linkedin,0,7.1,8,1,4
19,Male,Undergraduate,Colombia,4.8,Instagram,1,5.9,6,3,7
20,Female,Undergraduate,Peru,5.5,Tiktok,1,5.6,5,4,8
22,Male,Graduate,Venezuela,3.3,Facebook,0,6.7,7,2,5
19,Female,High School,Ecuador,6.3,Instagram,1,5.2,5,4,9
21,Male,Undergraduate,Uruguay,3.8,Youtube,0,6.4,7,2,6
20,Female,Undergraduate,Paraguay,4.7,Tiktok,1,5.8,6,3,7
24,Male,Graduate,Bolivia,2.4,Linkedin,0,7.2,8,1,4
19,Female,High School,Costa Rica,5.7,Instagram,1,5.5,5,4,8
21,Male,Undergraduate,Panama,3.6,Facebook,0,6.5,7,2,5
20,Female,Undergraduate,Jamaica,4.9,Snapchat,1,5.6,6,3,7
18,Male,High School,Trinidad,5.6,Tiktok,1,5.2,5,4,8
23,Female,Graduate,Bahamas,2.8,Linkedin,0,7.0,8,1,4
19,Male,Undergraduate,Iceland,4.6,Instagram,1,5.9,6,3,7
20,Female,Undergraduate,Finland,5.4,Tiktok,1,5.7,5,4,8
22,Male,Graduate,Poland,3.1,Facebook,0,7.1,7,1,5
19,Female,Undergraduate,Romania,5.6,Instagram,1,5.6,5,3,8
20,Male,Undergraduate,Hungary,4.2,Tiktok,1,6.0,6,3,7
18,Female,High School,Czech Republic,6.1,Snapchat,1,5.2,4,4,9
23,Male,Graduate,Slovakia,2.3,Linkedin,0,7.4,8,1,3
21,Female,Undergraduate,Croatia,4.8,Instagram,1,5.8,6,3,7
20,Male,Undergraduate,Serbia,3.9,Youtube,0,6.5,7,2,6
19,Female,High School,Slovenia,5.7,Tiktok,1,5.4,5,4,8
22,Male,Graduate,Bulgaria,2.8,Linkedin,0,7.2,8,1,4
20,Female,Undergraduate,Estonia,4.5,Instagram,1,5.9,6,3,7
18,Male,High School,Latvia,5.4,Snapchat,1,5.5,5,4,8
21,Female,Graduate,Lithuania,3.2,Facebook,0,6.8,7,2,5
19,Male,Undergraduate,Ukraine,4.9,Tiktok,1,5.7,6,3,7
20,Female,Undergraduate,Moldova,5.8,Instagram,1,5.3,5,4,8
23,Male,Graduate,Belarus,2.5,Linkedin,0,7.3,8,1,4
21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,1,5.8,6,3,7
19,Male,High School,Uzbekistan,5.5,Tiktok,1,5.4,5,4,8
22,Female,Graduate,Kyrgyzstan,2.9,Facebook,0,7.0,7,2,5
20,Male,Undergraduate,Tajikistan,4.7,Youtube,1,5.9,6,3,7
18,Female,High School,Armenia,5.9,Instagram,1,5.2,5,4,9
21,Male,Graduate,Georgia,3.0,Linkedin,0,7.1,8,1,4
19,Female,Undergraduate,Azerbaijan,4.8,Tiktok,1,5.7,6,3,7
20,Male,Undergraduate,Cyprus,3.8,Facebook,0,6.6,7,2,6
22,Female,Graduate,Malta,2.7,Linkedin,0,7.2,8,1,4
18,Male,High School,Luxembourg,5.6,Snapchat,1,5.3,5,4,8
21,Female,Undergraduate,Monaco,4.5,Instagram,1,5.8,6,3,7
19,Male,High School,Andorra,5.3,Tiktok,1,5.5,5,4,8
23,Female,Graduate,San Marino,2.6,Linkedin,0,7.3,8,1,4
20,Male,Undergraduate,Vatican City,4.4,Youtube,1,6.0,6,3,7
18,Female,High School,Liechtenstein,5.8,Instagram,1,5.2,5,4,9
22,Male,Graduate,Montenegro,2.9,Facebook,0,7.0,7,2,5
19,Female,Undergraduate,Albania,4.7,Tiktok,1,5.8,6,3,7
21,Male,Undergraduate,North Macedonia,3.7,Snapchat,0,6.5,7,2,6
20,Female,High School,Kosovo,5.5,Instagram,1,5.4,5,4,8
23,Male,Graduate,Bosnia,2.4,Linkedin,0,7.4,8,1,4
19,Female,Undergraduate,Qatar,4.9,Tiktok,1,5.7,6,3,7
18,Male,High School,Kuwait,5.7,Snapchat,1,5.3,5,4,8
22,Female,Graduate,Bahrain,2.8,Linkedin,0,7.1,8,1,4
20,Male,Undergraduate,Oman,4.6,Instagram,1,5.9,6,3,7
21,Female,Undergraduate,Jordan,5.4,Tiktok,1,5.5,5,4,8
19,Male,High School,Lebanon,5.8,Youtube,1,5.2,5,4,9
23,Female,Graduate,Iraq,2.5,Linkedin,0,7.3,8,1,4
20,Male,Undergraduate,Yemen,4.7,Facebook,1,5.8,6,3,7
18,Female,High School,Syria,5.6,Instagram,1,5.4,5,4,8
22,Male,Graduate,Afghanistan,2.9,Linkedin,0,7.0,7,2,5
19,Female,Undergraduate,Pakistan,4.8,Tiktok,1,5.7,6,3,7
21,Male,Undergraduate,Nepal,3.8,Youtube,0,6.6,7,2,6
20,Female,High School,Bhutan,5.5,Snapchat,1,5.5,5,4,8
23,Male,Graduate,Sri Lanka,2.6,Linkedin,0,7.2,8,1,4
19,Female,Undergraduate,Maldives,4.9,Instagram,1,5.8,6,3,7
20,Male,Undergraduate,Bangladesh,6.1,Instagram,1,6.2,5,4,8
21,Female,Undergraduate,India,5.8,Tiktok,1,5.9,6,3,7
19,Male,Undergraduate,Nepal,4.9,Facebook,0,7.1,7,2,5
22,Female,Graduate,Pakistan,5.5,Instagram,1,6.0,5,4,8
20,Male,Undergraduate,Sri Lanka,5.2,Tiktok,1,6.3,6,3,7
19,Female,Undergraduate,Maldives,4.8,Instagram,0,7.2,8,2,5
21,Male,Graduate,Bangladesh,6.0,Facebook,1,5.8,5,4,8
20,Female,Undergraduate,India,5.7,Instagram,1,6.1,6,3,7
22,Male,Graduate,Nepal,4.7,Tiktok,0,7.3,7,2,5
19,Female,Undergraduate,Pakistan,5.4,Instagram,1,6.2,5,4,8
20,Male,Undergraduate,Sri Lanka,5.9,Facebook,1,5.9,6,3,7
21,Female,Graduate,Maldives,4.6,Instagram,0,7.4,8,2,5
19,Male,Undergraduate,Bangladesh,5.3,Tiktok,1,6.3,5,4,8
22,Female,Graduate,India,5.8,Instagram,1,5.8,6,3,7
20,Male,Undergraduate,Nepal,4.5,Facebook,0,7.5,7,2,5
21,Female,Graduate,Pakistan,5.2,Instagram,1,6.4,5,4,8
19,Male,Undergraduate,Sri Lanka,5.7,Tiktok,1,5.7,6,3,7
20,Female,Undergraduate,Maldives,4.4,Instagram,0,7.6,8,2,5
22,Male,Graduate,Bangladesh,5.1,Facebook,1,6.5,5,4,8
21,Female,Graduate,India,5.6,Instagram,1,5.6,6,3,7
19,Male,Undergraduate,Nepal,4.3,Tiktok,0,7.7,7,2,5
20,Female,Undergraduate,Pakistan,5.0,Instagram,1,6.6,5,4,8
22,Male,Graduate,Sri Lanka,5.5,Facebook,1,5.5,6,3,7
21,Female,Graduate,Maldives,4.2,Instagram,0,7.8,8,2,5
19,Male,Undergraduate,Bangladesh,4.9,Tiktok,1,6.7,5,4,8
20,Female,Undergraduate,India,5.4,Instagram,1,5.4,6,3,7
22,Male,Graduate,Nepal,4.1,Facebook,0,7.9,7,2,5
21,Female,Graduate,Pakistan,4.8,Instagram,1,6.8,5,4,8
19,Male,Undergraduate,Sri Lanka,5.3,Tiktok,1,5.3,6,3,7
20,Female,Undergraduate,Maldives,4.0,Instagram,0,8.0,8,2,5
22,Male,Graduate,Bangladesh,4.7,Facebook,1,6.9,5,4,8
21,Female,Graduate,India,5.2,Instagram,1,5.2,6,3,7
19,Male,Undergraduate,Nepal,3.9,Tiktok,0,8.1,7,2,5
20,Female,Undergraduate,Pakistan,4.6,Instagram,1,7.0,5,4,8
22,Male,Graduate,Sri Lanka,5.1,Facebook,1,5.1,6,3,7
21,Female,Graduate,Maldives,3.8,Instagram,0,8.2,8,2,5
19,Male,Undergraduate,Bangladesh,4.5,Tiktok,1,7.1,5,4,8
20,Female,Undergraduate,India,5.0,Instagram,1,5.0,6,3,7
22,Male,Graduate,Nepal,3.7,Facebook,0,8.3,7,2,5
21,Female,Graduate,Pakistan,4.4,Instagram,1,7.2,5,4,8
19,Male,Undergraduate,Sri Lanka,4.9,Tiktok,1,4.9,6,3,7
20,Female,Undergraduate,Maldives,3.6,Instagram,0,8.4,8,2,5
22,Male,Graduate,Bangladesh,4.3,Facebook,1,7.3,5,4,8
21,Female,Graduate,India,4.8,Instagram,1,4.8,6,3,7
19,Male,Undergraduate,Nepal,3.5,Tiktok,0,8.5,7,2,5
20,Female,Undergraduate,Pakistan,4.2,Instagram,1,7.4,5,4,8
22,Male,Graduate,Sri Lanka,4.7,Facebook,1,4.7,6,3,7
21,Female,Graduate,Maldives,3.4,Instagram,0,8.6,8,2,5
19,Male,Undergraduate,Bangladesh,4.1,Tiktok,1,7.5,5,4,8
20,Female,Undergraduate,India,4.6,Instagram,1,4.6,6,3,7
19,Female,Undergraduate,Bangladesh,5.3,Instagram,1,6.1,5,3,7
21,Male,Graduate,India,4.8,Facebook,0,7.2,7,2,6
20,Female,Undergraduate,Nepal,5.5,Tiktok,1,5.9,6,4,8
22,Male,Graduate,Pakistan,4.7,Instagram,1,6.3,5,3,7
19,Female,Undergraduate,Sri Lanka,5.1,Facebook,0,7.0,7,2,5
21,Male,Graduate,Maldives,5.4,Tiktok,1,6.0,6,4,8
20,Female,Undergraduate,Bangladesh,4.9,Instagram,1,6.4,5,3,7
22,Male,Graduate,India,5.2,Facebook,0,7.1,7,2,6
19,Female,Undergraduate,Nepal,5.6,Tiktok,1,5.8,6,4,8
21,Male,Graduate,Pakistan,4.6,Instagram,1,6.5,5,3,7
20,Female,Undergraduate,Sri Lanka,5.0,Facebook,0,7.3,7,2,5
22,Male,Graduate,Maldives,5.3,Tiktok,1,5.7,6,4,8
19,Female,Undergraduate,Bangladesh,4.8,Instagram,1,6.6,5,3,7
21,Male,Graduate,India,5.1,Facebook,0,7.4,7,2,6
20,Female,Undergraduate,Nepal,5.7,Tiktok,1,5.6,6,4,8
22,Male,Graduate,Pakistan,4.5,Instagram,1,6.7,5,3,7
19,Female,Undergraduate,Sri Lanka,4.9,Facebook,0,7.5,7,2,5
21,Male,Graduate,Maldives,5.2,Tiktok,1,5.5,6,4,8
20,Female,Undergraduate,Bangladesh,4.7,Instagram,1,6.8,5,3,7
22,Male,Graduate,India,5.0,Facebook,0,7.6,7,2,6
19,Female,Undergraduate,Nepal,5.8,Tiktok,1,5.4,6,4,8
21,Male,Graduate,Pakistan,4.4,Instagram,1,6.9,5,3,7
20,Female,Undergraduate,Sri Lanka,4.8,Facebook,0,7.7,7,2,5
22,Male,Graduate,Maldives,5.1,Tiktok,1,5.3,6,4,8
19,Female,Undergraduate,Bangladesh,4.6,Instagram,1,7.0,5,3,7
21,Male,Graduate,India,4.9,Facebook,0,7.8,7,2,6
20,Female,Undergraduate,Nepal,5.9,Tiktok,1,5.2,6,4,8
22,Male,Graduate,Pakistan,4.3,Instagram,1,7.1,5,3,7
19,Female,Undergraduate,Sri Lanka,4.7,Facebook,0,7.9,7,2,5
21,Male,Graduate,Maldives,5.0,Tiktok,1,5.1,6,4,8
20,Female,Undergraduate,Bangladesh,4.5,Instagram,1,7.2,5,3,7
22,Male,Graduate,India,4.8,Facebook,0,8.0,7,2,6
19,Female,Undergraduate,Nepal,6.0,Tiktok,1,5.0,6,4,8
21,Male,Graduate,Pakistan,4.2,Instagram,1,7.3,5,3,7
20,Female,Undergraduate,Sri Lanka,4.6,Facebook,0,8.1,7,2,5
22,Male,Graduate,Maldives,4.9,Tiktok,1,4.9,6,4,8
19,Female,Undergraduate,Bangladesh,4.4,Instagram,1,7.4,5,3,7
21,Male,Graduate,India,4.7,Facebook,0,8.2,7,2,6
20,Female,Undergraduate,Nepal,6.1,Tiktok,1,4.8,6,4,8
22,Male,Graduate,Pakistan,4.1,Instagram,1,7.5,5,3,7
19,Female,Undergraduate,Sri Lanka,4.5,Facebook,0,8.3,7,2,5
21,Male,Graduate,Maldives,4.8,Tiktok,1,4.7,6,4,8
20,Female,Undergraduate,Bangladesh,4.3,Instagram,1,7.6,5,3,7
22,Male,Graduate,India,4.6,Facebook,0,8.4,7,2,6
19,Female,Undergraduate,Nepal,6.2,Tiktok,1,4.6,6,4,8
21,Male,Graduate,Pakistan,4.0,Instagram,1,7.7,5,3,7
20,Female,Undergraduate,Sri Lanka,4.4,Facebook,0,8.5,7,2,5
22,Male,Graduate,Maldives,4.7,Tiktok,1,4.5,6,4,8
19,Female,Undergraduate,Bangladesh,4.2,Instagram,1,7.8,5,3,7
21,Male,Graduate,India,4.5,Facebook,0,8.6,7,2,6
20,Female,Undergraduate,Nepal,6.3,Tiktok,1,4.4,6,4,8
22,Male,Graduate,Pakistan,3.9,Instagram,1,7.9,5,3,7
19,Female,Undergraduate,Sri Lanka,4.3,Facebook,0,8.7,7,2,5
21,Male,Graduate,Maldives,4.6,Tiktok,1,4.3,6,4,8
20,Female,Undergraduate,Bangladesh,4.1,Instagram,1,8.0,5,3,7
22,Male,Graduate,India,4.4,Facebook,0,8.8,7,2,6
19,Female,Undergraduate,Nepal,6.4,Tiktok,1,4.2,6,4,8
21,Male,Graduate,Pakistan,3.8,Instagram,1,8.1,5,3,7
20,Female,Undergraduate,Sri Lanka,4.2,Facebook,0,8.9,7,2,5
22,Male,Graduate,Maldives,4.5,Tiktok,1,4.1,6,4,8
19,Female,Undergraduate,Usa,6.5,Instagram,1,6.0,5,4,9
21,Male,Graduate,Uk,5.8,Tiktok,1,6.5,6,3,7
20,Female,Undergraduate,Australia,4.5,Instagram,0,7.5,8,2,5
22,Male,Graduate,Germany,4.2,Facebook,0,7.8,7,2,4
19,Female,Undergraduate,Japan,3.8,Line,0,7.9,8,1,3
21,Male,Graduate,Italy,5.5,Instagram,1,6.8,6,3,7
20,Female,Undergraduate,South Korea,5.2,Kakaotalk,1,6.5,6,3,6
22,Male,Graduate,Russia,4.8,Vkontakte,0,7.2,7,2,5
19,Female,Undergraduate,Usa,7.0,Tiktok,1,5.8,4,4,9
21,Male,Graduate,Uk,5.5,Instagram,1,6.7,6,3,7
20,Female,Undergraduate,Australia,4.7,Facebook,0,7.4,7,2,5
22,Male,Graduate,Germany,4.0,Instagram,0,7.9,8,1,4
19,Female,Undergraduate,Japan,3.5,Line,0,8.0,8,1,3
21,Male,Graduate,Italy,5.7,Tiktok,1,6.5,5,3,8
20,Female,Undergraduate,South Korea,5.0,Kakaotalk,1,6.8,6,3,6
22,Male,Graduate,Russia,4.5,Vkontakte,0,7.4,7,2,5
19,Female,Undergraduate,Usa,6.8,Instagram,1,5.9,4,4,9
21,Male,Graduate,Uk,5.6,Facebook,1,6.6,6,3,7
20,Female,Undergraduate,Australia,4.6,Instagram,0,7.3,7,2,5
22,Male,Graduate,Germany,4.1,Facebook,0,7.7,8,2,4
19,Female,Undergraduate,Japan,3.7,Line,0,7.8,8,1,3
21,Male,Graduate,Italy,5.4,Instagram,1,6.7,5,3,7
20,Female,Undergraduate,South Korea,5.1,Kakaotalk,1,6.6,6,3,6
22,Male,Graduate,Russia,4.7,Vkontakte,0,7.3,7,2,5
19,Female,Undergraduate,Usa,6.9,Tiktok,1,5.7,4,4,9
21,Male,Graduate,Uk,5.7,Instagram,1,6.4,6,3,7
20,Female,Undergraduate,Australia,4.8,Facebook,0,7.2,7,2,5
22,Male,Graduate,Germany,3.9,Instagram,0,7.8,8,1,4
19,Female,Undergraduate,Japan,3.6,Line,0,8.1,8,1,3
21,Male,Graduate,Italy,5.6,Tiktok,1,6.6,5,3,8
20,Female,Undergraduate,South Korea,4.9,Kakaotalk,1,6.9,6,3,6
22,Male,Graduate,Russia,4.6,Vkontakte,0,7.5,7,2,5
19,Female,Undergraduate,Usa,6.7,Instagram,1,5.8,4,4,9
21,Male,Graduate,Uk,5.4,Facebook,1,6.5,6,3,7
20,Female,Undergraduate,Australia,4.4,Instagram,0,7.4,7,2,5
22,Male,Graduate,Germany,4.0,Facebook,0,7.6,8,2,4
19,Female,Undergraduate,Japan,3.4,Line,0,8.2,8,1,3
21,Male,Graduate,Italy,5.3,Instagram,1,6.8,5,3,7
20,Female,Undergraduate,South Korea,5.0,Kakaotalk,1,6.7,6,3,6
22,Male,Graduate,Russia,4.4,Vkontakte,0,7.6,7,2,5
19,Female,Undergraduate,Usa,6.6,Tiktok,1,5.6,4,4,9
21,Male,Graduate,Uk,5.3,Instagram,1,6.3,6,3,7
20,Female,Undergraduate,Australia,4.3,Facebook,0,7.5,7,2,5
22,Male,Graduate,Germany,3.8,Instagram,0,7.7,8,1,4
19,Female,Undergraduate,Japan,3.3,Line,0,8.3,8,1,3
21,Male,Graduate,Italy,5.2,Tiktok,1,6.9,5,3,8
20,Female,Undergraduate,South Korea,4.8,Kakaotalk,1,7.0,6,3,6
22,Male,Graduate,Russia,4.3,Vkontakte,0,7.7,7,2,5
19,Female,Undergraduate,Usa,6.4,Instagram,1,5.7,4,4,9
21,Male,Graduate,Uk,5.2,Facebook,1,6.4,6,3,7
20,Female,Undergraduate,Australia,4.5,Instagram,0,7.3,7,2,5
22,Male,Graduate,Germany,3.7,Facebook,0,7.8,8,1,4
19,Female,Undergraduate,Japan,3.2,Line,0,8.4,8,1,3
21,Male,Graduate,Italy,5.4,Instagram,1,6.7,5,3,7
20,Female,Undergraduate,South Korea,4.7,Kakaotalk,1,7.1,6,3,6
22,Male,Graduate,Russia,4.2,Vkontakte,0,7.8,7,2,5
19,Female,Undergraduate,Usa,6.6,Tiktok,1,5.5,4,4,9
21,Male,Graduate,Uk,5.1,Instagram,1,6.5,6,3,7
20,Female,Undergraduate,Australia,4.4,Facebook,0,7.4,7,2,5
22,Male,Graduate,Germany,3.6,Instagram,0,7.9,8,1,4
19,Female,Undergraduate,Japan,3.1,Line,0,8.5,8,1,3
21,Male,Graduate,Italy,5.3,Tiktok,1,6.8,5,3,8
20,Female,Undergraduate,South Korea,4.6,Kakaotalk,1,7.2,6,3,6
22,Male,Graduate,Russia,4.1,Vkontakte,0,7.9,7,2,5
19,Female,Undergraduate,Usa,6.7,Instagram,1,5.4,4,4,9
21,Male,Graduate,Uk,5.0,Facebook,1,6.6,6,3,7
20,Female,Undergraduate,Australia,4.3,Instagram,0,7.5,7,2,5
22,Male,Graduate,Germany,3.5,Facebook,0,8.0,8,1,4
19,Female,Undergraduate,Japan,3.0,Line,0,8.6,8,1,3
21,Male,Graduate,Italy,5.2,Instagram,1,6.9,5,3,7
20,Female,Undergraduate,South Korea,4.5,Kakaotalk,1,7.3,6,3,6
22,Male,Graduate,Russia,4.0,Vkontakte,0,8.0,7,2,5
19,Female,Undergraduate,Usa,6.8,Tiktok,1,5.3,4,4,9
21,Male,Graduate,Uk,4.9,Instagram,1,6.7,6,3,7
20,Female,Undergraduate,Australia,4.2,Facebook,0,7.6,7,2,5
22,Male,Graduate,Germany,3.4,Instagram,0,8.1,8,1,4
19,Female,Undergraduate,Japan,2.9,Line,0,8.7,8,1,3
21,Male,Graduate,Italy,5.1,Tiktok,1,7.0,5,3,8
20,Female,Undergraduate,South Korea,4.4,Kakaotalk,1,7.4,6,3,6
22,Male,Graduate,Russia,3.9,Vkontakte,0,8.1,7,2,5
19,Female,Undergraduate,Usa,6.9,Instagram,1,5.2,4,4,9
21,Male,Graduate,Uk,4.8,Facebook,1,6.8,6,3,7
20,Female,Undergraduate,Australia,4.1,Instagram,0,7.7,7,2,5
22,Male,Graduate,Germany,3.3,Facebook,0,8.2,8,1,4
19,Female,Undergraduate,Japan,2.8,Line,0,8.8,8,1,3
21,Male,Graduate,Italy,5.0,Instagram,1,7.1,5,3,7
20,Female,Undergraduate,South Korea,4.3,Kakaotalk,1,7.5,6,3,6
22,Male,Graduate,Russia,3.8,Vkontakte,0,8.2,7,2,5
19,Female,Undergraduate,Usa,7.0,Tiktok,1,5.1,4,4,9
21,Male,Graduate,Uk,4.7,Instagram,1,6.9,6,3,7
20,Female,Undergraduate,Australia,4.0,Facebook,0,7.8,7,2,5
22,Male,Graduate,Germany,3.2,Instagram,0,8.3,8,1,4
19,Female,Undergraduate,Japan,2.7,Line,0,8.9,8,1,3
21,Male,Graduate,Italy,4.9,Tiktok,1,7.2,5,3,8
20,Female,Undergraduate,South Korea,4.2,Kakaotalk,1,7.6,6,3,6
22,Male,Graduate,Russia,3.7,Vkontakte,0,8.3,7,2,5
19,Female,Undergraduate,Usa,7.1,Instagram,1,5.0,4,4,9
21,Male,Graduate,Uk,4.6,Facebook,1,7.0,6,3,7
20,Female,Undergraduate,Australia,3.9,Instagram,0,7.9,7,2,5
22,Male,Graduate,Germany,3.1,Facebook,0,8.4,8,1,4
19,Female,Undergraduate,Spain,5.2,Instagram,1,6.8,6,3,7
21,Male,Graduate,Denmark,4.1,Facebook,0,7.8,8,2,4
20,Female,Undergraduate,Ireland,5.0,Instagram,1,7.0,7,3,6
22,Male,Graduate,India,5.8,Whatsapp,1,6.5,5,4,8
19,Female,Undergraduate,Switzerland,4.0,Instagram,0,7.9,8,2,4
21,Male,Graduate,Turkey,5.5,Instagram,1,6.7,6,3,7
20,Female,Undergraduate,Usa,6.8,Tiktok,1,5.5,5,4,9
22,Male,Graduate,Mexico,5.6,Whatsapp,1,6.6,6,3,7
19,Female,Undergraduate,France,4.5,Instagram,0,7.5,7,2,5
21,Male,Graduate,Canada,5.3,Instagram,1,6.9,6,3,7
20,Female,Undergraduate,Spain,5.1,Tiktok,1,6.7,6,3,7
22,Male,Graduate,Denmark,3.9,Facebook,0,7.9,8,2,4
19,Female,Undergraduate,Ireland,4.8,Instagram,1,7.1,7,3,6
21,Male,Graduate,India,5.9,Whatsapp,1,6.4,5,4,8
20,Female,Undergraduate,Switzerland,3.8,Instagram,0,8.0,8,2,4
22,Male,Graduate,Turkey,5.4,Tiktok,1,6.8,6,3,7
19,Female,Undergraduate,Usa,6.9,Instagram,1,5.4,5,4,9
21,Male,Graduate,Mexico,5.7,Whatsapp,1,6.5,6,3,7
20,Female,Undergraduate,France,4.4,Instagram,0,7.6,7,2,5
22,Male,Graduate,Canada,5.2,Tiktok,1,7.0,6,3,7
19,Female,Undergraduate,Spain,5.0,Instagram,1,6.9,6,3,7
21,Male,Graduate,Denmark,3.8,Facebook,0,8.0,8,2,4
20,Female,Undergraduate,Ireland,4.7,Tiktok,1,7.2,7,3,6
22,Male,Graduate,India,6.0,Whatsapp,1,6.3,5,4,8
19,Female,Undergraduate,Switzerland,3.7,Instagram,0,8.1,8,2,4
21,Male,Graduate,Turkey,5.3,Instagram,1,6.9,6,3,7
20,Female,Undergraduate,Usa,7.0,Tiktok,1,5.3,5,4,9
22,Male,Graduate,Mexico,5.8,Whatsapp,1,6.4,6,3,7
19,Female,Undergraduate,France,4.3,Instagram,0,7.7,7,2,5
21,Male,Graduate,Canada,5.1,Instagram,1,7.1,6,3,7
20,Female,Undergraduate,Spain,4.9,Tiktok,1,7.0,6,3,7
22,Male,Graduate,Denmark,3.7,Facebook,0,8.1,8,2,4
19,Female,Undergraduate,Ireland,4.6,Instagram,1,7.3,7,3,6
21,Male,Graduate,India,6.1,Whatsapp,1,6.2,5,4,8
20,Female,Undergraduate,Switzerland,3.6,Instagram,0,8.2,8,2,4
22,Male,Graduate,Turkey,5.2,Tiktok,1,7.0,6,3,7
19,Female,Undergraduate,Usa,7.1,Instagram,1,5.2,5,4,9
21,Male,Graduate,Mexico,5.9,Whatsapp,1,6.3,6,3,7
20,Female,Undergraduate,France,4.2,Instagram,0,7.8,7,2,5
22,Male,Graduate,Canada,5.0,Tiktok,1,7.2,6,3,7
19,Female,Undergraduate,Spain,4.8,Instagram,1,7.1,6,3,7
21,Male,Graduate,Denmark,3.6,Facebook,0,8.2,8,2,4
20,Female,Undergraduate,Ireland,4.5,Tiktok,1,7.4,7,3,6
22,Male,Graduate,India,6.2,Whatsapp,1,6.1,5,4,8
19,Female,Undergraduate,Switzerland,3.5,Instagram,0,8.3,8,2,4
21,Male,Graduate,Turkey,5.1,Instagram,1,7.1,6,3,7
20,Female,Undergraduate,Usa,7.2,Tiktok,1,5.1,5,4,9
22,Male,Graduate,Mexico,6.0,Whatsapp,1,6.2,6,3,7
19,Female,Undergraduate,France,4.1,Instagram,0,7.9,7,2,5
21,Male,Graduate,Canada,4.9,Instagram,1,7.3,6,3,7
